expression_sample,clinical_sample,position,match_type,hash_signature
F175,GSM2528256,174,positional,cb1e4ad9ea371ee6b79c7cc83f5ec21d
F176,GSM2528257,175,positional,5dfd6aeed36adb810345601e21e38b9f
F177,GSM2528258,176,positional,2cba2044fb63276601d6834f1f218247
F178,GSM2528259,177,positional,b1bfd3c1369d386075ce032cd7033838
F179,GSM2528260,178,positional,2f02fd861512013f7628dec33e4dd58a
F180,GSM2528261,179,positional,0fc35096746b82625b4c33a6b15b8b51
F181,GSM2528262,180,positional,58a148302bcd11254248e9f123a26d4d
F182,GSM2528264,181,positional,f4aad7b5e169d2b161ce801a4b45c958
F183,GSM2528265,182,positional,b94859c1e9b614041d57433b5b073f39
F184,GSM2528266,183,positional,ddf996c9e42abaa46d1afd73b2889818
F185,GSM2528267,184,positional,3aed78d6042aed90ae79bcb9e958ed3a
F186,GSM2528268,185,positional,caee353243b3e6c5c65d50ec0d596b2c
F187,GSM2528269,186,positional,54cf8fcde18d3521a5c20caa9e466aa2
F188,GSM2528270,187,positional,7113308549d4c3eff04400917e44aece
F189,GSM2528271,188,positional,f8a48ff4d52a2236df8e6abef65c3454
F190,GSM2528272,189,positional,727e6a2c36269d68cc381395c132d108
F191,GSM2528273,190,positional,fb74e7a752e8f62cd5abb7de3ef5dc3a
F192,GSM2528274,191,positional,e588c2dcbb615eb6f6b12e49f0900b5d
F193,GSM2528275,192,positional,e482f5edfac6a06cf8dfc3576c7c1fd2
F194,GSM2528276,193,positional,1ab6ae9a18f11412deef2157096444fe
F195,GSM2528277,194,positional,61a4fcffd743a25340b02f9ef85cf7a1
F196,GSM2528278,195,positional,d7dc82592eaad250cb46c305b761ea7c
F197,GSM2528279,196,positional,5a3f5623e2406fe8f4379c1371348422
F198,GSM2528280,197,positional,ab4ae96eee77b7aaf2ac7ef7c5771f17
F199,GSM2528281,198,positional,befb96fe8768953ea9cb95194981c622
F200,GSM2528282,199,positional,63da8862942bbf3ddb4ed3dd04233ded
F201,GSM2528283,200,positional,ba62199294aad7cfdd2904dc7c1574d4
F202,GSM2528284,201,positional,198a8d8c4f421dd87566b11ae3899686
F203,GSM2528285,202,positional,7a5a593da0e2f4f572d03bc04f27df64
F204,GSM2528286,203,positional,92c8ec21f5b179d99392ea6c086f1ed1
F205,GSM2528287,204,positional,793b9c96142a93327d7e3636b4f4c804
F206,GSM2528288,205,positional,25d119af643a07186a0ed6f35142d3e2
F207,GSM2528289,206,positional,b9dd836c1922d69c87e1a68fd499b4e3
F208,GSM2528290,207,positional,e23861ace7899106f4d82b470b7d25f3
F209,GSM2528291,208,positional,c250f3596d06f6dd8a110c12aa5c8747
F210,GSM2528292,209,positional,28708a6e6bb04624130955c2c0d7dcbe
F211,GSM2528293,210,positional,a32ca46ea8ac0e13123a3508228b2841
F212,GSM2528294,211,positional,eb5a034fbc86d0fb5ca26be489c5076b
F213,GSM2528295,212,positional,8c11a612697dc5938badfc6776e56b00
F214,GSM2528296,213,positional,c08b8358824072fdfbd809465b9c4552
F215,GSM2528298,214,positional,8398b49bb72347cc8cb9bad17866463e
F216,GSM2528299,215,positional,d99cd24a9c14aca76631137ce4d56736
F217,GSM2528300,216,positional,5549957e94d5571631b395db35b9a4b8
F218,GSM2528301,217,positional,844ee1691517775f5b4a3e2adc2c81ea
F219,GSM2528302,218,positional,1d14c8ddb06ff123b829fe87b2f66779
F220,GSM2528303,219,positional,8bf96f9921e51a59138a2c1a4908b77c
F221,GSM2528304,220,positional,f2849e87fdc60fc38a3c9d6350810ec8
F222,GSM2528306,221,positional,5a03e8acc358c48c495ade224abcc946
F223,GSM2528308,222,positional,dc9b0bb755e7de703c4e942a42969da9
F224,GSM2528309,223,positional,2ef9d51f84cdc542e6bb4dd5b43a3856
F225,GSM2528310,224,positional,d577ec6b9e12d241c6c31823af686941
F226,GSM2528311,225,positional,2dd33bc010ba9400a0ef01ce96029d60
F227,GSM2528312,226,positional,b04a38b9cd1165a5797daeb4d343147c
F228,GSM2528313,227,positional,78db1633ac4a376144c8791ec4c195c7
F229,GSM2528314,228,positional,80785ee594f191161c23967db581bc70
F230,GSM2528315,229,positional,62f874cf14e9b5031eb48d14b8c71584
F231,GSM2528316,230,positional,9a589e45bbac89d2de1177b49f46952a
F232,GSM2528317,231,positional,fc12e3a2d5e962d36948334216e2d25f
F233,GSM2528318,232,positional,222ec19eb832fb87f0826f754883aa9f
F234,GSM2528319,233,positional,4b0c3ff1d382897679571cb8b0759c21
F235,GSM2528321,234,positional,02ba73417afa2d5b3b5096383fe09f35
F236,GSM2528322,235,positional,2de159c95ecbdeea46afd1d32d102455
F237,GSM2528323,236,positional,9aa10aa3467f79e3034d245a603e390c
F238,GSM2528326,237,positional,9ad4d73a12981a6bc1f96653b5628430
F239,GSM2528327,238,positional,329edf338f248b0fe2f7b8c8a983c608
F240,GSM2528328,239,positional,72022adcc00f8125fe757d7092f4f368
F241,GSM2528329,240,positional,9470d29c693878e9a49e6642457a5477
F242,GSM2528330,241,positional,5ae474d72dc3da6b39ec0b970403256e
F243,GSM2528331,242,positional,36c1da580627f6e40376241a6e060bd7
F244,GSM2528332,243,positional,a22d52604aa42e8f5659caf538151b65
F245,GSM2528333,244,positional,4328d0d803474237bb86123dff502398
F246,GSM2528334,245,positional,47e3b64dbcd37b17342bae39c975e397
F247,GSM2528335,246,positional,483765815c0870f53a1741401c792d0c
F248,GSM2528336,247,positional,53aae565700ded2cfdb95e4e2fc24013
F249,GSM2528337,248,positional,7db9739c9a79e11afdb596c784489cd7
F250,GSM2528338,249,positional,2ae3046485373aecb97157b420251122
F251,GSM2528339,250,positional,c17e3dcd8c433f457858ed31422e4e5a
F252,GSM2528340,251,positional,edbf75869cf000b4afd47720a98eb7e0
F253,GSM2528342,252,positional,4dc4c191c0970228751fba0704922de6
F254,GSM2528343,253,positional,3f2e200ed2a04372444aede978480954
F255,GSM2528344,254,positional,20bfef7ec9652d748131c09401c26d14
F256,GSM2528346,255,positional,2541a2dc1dc11475c7aae7d5e8edec5e
F257,GSM2528348,256,positional,d925573a5d66f18688985332a32d1022
F258,GSM2528350,257,positional,90520f1370607908a8f9b0b63b9747cc
F259,GSM2528351,258,positional,17e6ec1bb335020aee7ef18372864ac0
F260,GSM2528352,259,positional,b7c00aca9b7226f8ed881eb08fecf83a
F261,GSM2528353,260,positional,613eaa26f376f95d3c347afd7905ac80
F262,GSM2528354,261,positional,957f1ab2c50dddc983b8ad0236dfa46d
F263,GSM2528355,262,positional,ea02a864f9e29959239609cea6bb2d9a
F264,GSM2528356,263,positional,30207ed16dce524ebe521cadbc7bf279
F265,GSM2528357,264,positional,62bd6f0dc6462ed98096ea2bc5b18d39
F266,GSM2528358,265,positional,9ce71663236945dc466b3e22e1172afa
F267,GSM2528359,266,positional,1722b0818554dc8b8d821f91073e8e80
F268,GSM2528360,267,positional,5c766cf958a16bcf7a59266d966421a0
F269,GSM2528361,268,positional,4282cec2d837c30562811c109f98c6bd
F270,GSM2528362,269,positional,0a6e01ad2f32c59ead1b5b0f372e804a
F271,GSM2528363,270,positional,8844829dd65de6c44b63570829d45694
F272,GSM2528364,271,positional,b0bd2b314a474ddf4cd695a8ab26dc75
F273,GSM2528366,272,positional,7520aed3ac0b852c683c953e5dd6acf4
F274,GSM2528367,273,positional,292a353832ee965c0ba0846b38c3f403
F275,GSM2528368,274,positional,768f4b18cfec85c15223f05951cba5b9
F276,GSM2528369,275,positional,9c96f9789ddcf72be4c27217cd5c4046
